st,stateno,state,state_fips,state_icpsr,poptotal,evangelical_pop,nonwhite,gini_coef,region,total_expenditure,total_revenue,gsppcap,incomepcap,unemployment,povrate,earned_income_taxcredit,x_sales_taxes,x_tax_burden,x_top_corporateincometaxrate,prez_election_year,hou_chamber,sen_chamber,h_diffs,s_diffs,inst6014_nom,bowen_legprof_firstdim,bowen_legprof_seconddim,speaker_power,pctfemaleleg,efna_index,vepvotingrate,ranney4_control,overall_fin_reg,oelecsc,opartsc,nonindiv_contrib,union_density,pollib_median,innovatescore_boehmkeskinner,soc_capital_ma,citi6013,wpid,mood,anti_environment,anti_aid,anti_defense,anti_education,anti_welfare,anti_race,death_penalty,guncontrol_stand_your_ground,vcrimerate,z_education_expenditures_per_pup,mathscore4th,readscore4th,sqli,health_rank,genderrights_state_eras,infconsent,w_ec_access,solaw,vaaban,w_environment_solar_taxcredit,frps,drugs_medical_marijuana,gambling_lottery_adoption,guncontrol_assaultweapon_ban,guncontrol_opencarry,labor_minwage_abovefed,labor_right_to_work
LA,18.0,Louisiana,22,45,4221826.0,31.700001,0.341960907,0.59370267,1.0,9420483.0,10190150.0,26121.0,15171.0,6.2,23.6,0.0,4.0,0.078,8.0,0.0,,,,,64.31956,,,2.25,2.1,6.3,0.47,0.5,,,,60908.22,7.900000095,-0.825322,0.082749,-0.077217005,29.79128,0.177393004,47.76800156,0.069723062,0.737927786,0.35234293,0.041243022,0.391216928,0.168765528,0.0,,898.4,6231.47,,,,,1.0,0.0,1.0,0.0,,0.0,,,1.0,0.0,0.0,0.0,1.0
LA,18.0,Louisiana,22,45,4240950.0,31.700001,0.344732612,0.59034234,1.0,10537155.0,10764100.0,25875.0,15931.0,7.1,19.0,0.0,4.0,0.078,8.0,0.0,,,,,44.77107,-0.24075234,0.15463772,,2.8,6.2,,1.0,,,,,8.0,-0.842478,0.057837,-0.41224104,26.69831,0.271806747,45.21900177,0.049504377,0.773295256,0.181620758,0.08426694,0.458566147,0.261626572,0.0,,951.0,6996.81,,,,,1.0,1.0,1.0,0.0,,0.0,,,1.0,0.0,0.0,0.0,1.0
LA,18.0,Louisiana,22,45,4270849.0,31.700001,0.347713411,0.58645123,1.0,11749590.0,11509334.0,23977.0,16857.0,8.1,24.5,0.0,4.0,0.079,8.0,1.0,,,,,64.92891,,,1.58,6.9,6.4,0.6,1.0,12.0,,,532523.23,8.0,-0.874385,0.057837,-0.65700197,37.88263,0.311811775,44.28499985,0.078375563,0.726195934,0.274990904,0.063369444,0.520823305,0.2297942,0.0,,984.6,7417.46,204.14,203.689,45.0,50.0,1.0,1.0,1.0,0.0,,0.0,,,1.0,0.0,0.0,0.0,1.0
LA,18.0,Louisiana,22,45,4284749.0,31.700001,0.350723922,0.57918781,1.0,12893236.0,13348275.0,24394.0,17559.0,7.4,26.4,0.0,4.0,0.079,8.0,0.0,,,,,71.36086,,,,7.6,6.4,,1.0,,,,,9.600000381,-0.900258,0.028194,-1.0861379,33.11603,0.161766395,42.38299942,0.107246757,0.679096612,0.36836105,0.042471949,0.583080463,0.197961827,0.0,0.0,1061.7,7177.42,,,48.0,50.0,1.0,1.0,1.0,0.0,,0.0,,,1.0,0.0,0.0,0.0,1.0
LA,18.0,Louisiana,22,45,4306500.0,31.700001,0.353498966,0.57423252,1.0,12935620.0,13524435.0,26258.0,18641.0,8.0,25.7,0.0,4.0,0.078,8.0,0.0,,,,,71.36086,,,1.83,9.0,6.6,0.27,1.0,12.0,,,255336.16,7.800000191,-0.898259,0.028194,-0.89222735,34.56035,0.213966772,38.04899979,0.073189758,0.780851944,0.367585139,0.086660112,0.529525338,0.256640336,0.0,0.0,981.9,,,196.762,48.0,50.0,1.0,1.0,1.0,0.0,,2.0,,,1.0,0.0,0.0,0.0,1.0
LA,18.0,Louisiana,22,45,4327978.0,21.9,0.356143951,0.57840377,1.0,14461235.0,13956017.0,27481.0,19367.0,,19.7,0.0,4.0,0.078,8.0,0.0,,,,,71.36086,-0.39958912,0.26195034,,9.7,6.6,,0.5,,,,,7.099999905,-0.947401,0.094751,-1.4052671,28.24272,0.279163957,35.16600037,0.093767613,0.767250779,0.32384194,0.075214573,0.52701463,0.23003871,0.0,0.0,1007.4,7350.79,,,45.0,50.0,1.0,1.0,1.0,0.0,,2.0,,,1.0,0.0,0.0,0.0,1.0
LA,18.0,Louisiana,22,45,4338763.0,21.9,0.358590215,0.60080951,1.0,14029815.0,14296187.0,27618.0,20155.0,6.7,20.5,0.0,4.0,0.078,8.0,1.0,0.169,0.339,0.539,0.603,47.75558,,,1.83,11.1,6.7,0.58,0.5,12.0,,,832328.02,8.199999809,-0.969261,0.094751,-1.2028646,36.30204,0.260120124,32.6629982,0.114345469,0.753649614,0.28009874,0.063769034,0.524503922,0.203437084,0.0,0.0,929.1,7347.5,209.021,,45.0,49.0,1.0,1.0,1.0,0.0,,2.0,,0.0,1.0,0.0,1.0,0.0,1.0
LA,18.0,Louisiana,22,45,4351390.0,21.9,0.360423118,0.57680386,1.0,14285704.0,16007250.0,37364.0,21088.0,6.1,16.3,0.0,4.0,0.082,8.0,0.0,0.164,0.416,0.546,0.603,48.44025,-0.18715918,0.080543138,,11.8,6.7,,0.5,,,,,7.0,-0.888843,0.070724,-1.114665,28.54329,0.144113511,33.27199936,0.094238177,0.726604896,0.300550752,0.058437205,0.478305252,0.182323382,0.0,0.0,855.9,7534.35,,,47.0,50.0,1.0,1.0,1.0,0.0,,2.0,,0.0,1.0,0.0,1.0,0.0,1.0
LA,18.0,Louisiana,22,45,4362758.0,21.9,0.362220734,0.57488531,1.0,14918718.0,17605336.0,38855.0,22119.0,5.7,19.1,0.0,4.0,0.079,8.0,0.0,0.169,0.416,0.553,0.603,48.44025,,,1.83,11.8,6.6,0.31,0.5,12.0,,,1308044.58,7.900000095,-0.988867,0.070724,-0.46567619,35.13431,0.280214816,30.59399986,0.074130878,0.699560178,0.321002764,0.053105376,0.432106582,0.16120968,0.0,0.0,779.5,7557.88,,200.341,47.0,50.0,1.0,1.0,1.0,0.0,,2.0,,0.0,1.0,0.0,1.0,0.0,1.0
LA,18.0,Louisiana,22,45,4372035.0,21.9,0.364097655,0.57439393,1.0,15705909.0,17785900.0,39087.0,22458.0,5.1,19.2,0.0,4.0,0.081,8.0,0.0,0.169,0.409,0.553,0.548,46.90674,-0.48256233,0.42638287,,13.9,6.5,,0.5,,,,22397889.76,8.199999809,-0.959806,0.06969,-0.49554956,33.34529,0.225710407,31.16200066,0.077406138,0.65988768,0.260698033,0.044783119,0.429368401,0.158988514,0.0,0.0,732.7,8208.86,,,44.0,50.0,1.0,1.0,1.0,0.0,,2.0,,0.0,1.0,0.0,1.0,0.0,1.0
LA,18.0,Louisiana,22,45,4468879.0,21.9,0.367634803,0.57628208,1.0,16553676.0,18788200.0,37573.0,23554.0,5.5,17.2,0.0,4.0,0.08,8.0,1.0,0.175,0.337,0.592,0.508,46.90674,,,1.83,16.0,6.6,0.56,0.5,12.0,,,63327.52,7.099999905,-0.970136,0.06969,-0.24837141,24.22432,0.149322808,35.12099838,0.080681391,0.620215182,0.200393301,0.036460862,0.426630221,0.156767349,0.0,0.0,681.1,8300.45,218.187,,44.0,49.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
LA,18.0,Louisiana,22,45,4460395.0,21.9,0.36946705,0.56724352,1.0,16410263.0,17811457.0,38315.0,25275.0,6.0,16.2,0.0,4.0,0.082,8.0,0.0,0.194,0.337,0.569,0.491,46.90674,-0.5248453,0.45111421,,16.0,6.9,,0.5,,0.0,1.0,,7.900000095,-0.974776,0.155894,-0.48532888,31.84331,0.224454522,39.9980011,0.081226155,0.634772094,0.191661294,0.043983465,0.361309277,0.21292751,0.0,0.0,686.3,8632.35,,,47.0,50.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
LA,18.0,Louisiana,22,45,4465215.0,21.9,0.371495843,0.5758155,1.0,17993401.0,18093632.0,38625.0,25763.0,6.1,17.5,0.0,4.0,0.083,8.0,0.0,0.175,0.359,0.577,0.545,46.90674,,,1.83,16.0,6.4,0.39,0.5,12.0,0.0,1.0,61948.51,8.399999619,-0.881677,0.155894,-0.47869965,31.7429,0.174345925,39.9980011,0.081770919,0.649329006,0.182929287,0.051506069,0.295988333,0.269087671,0.0,0.0,663.3,9255.52,,206.64,46.0,49.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
LA,18.0,Louisiana,22,45,4473558.0,21.9,0.373323649,0.60265946,1.0,18681314.0,19437629.0,40154.0,26429.0,6.6,17.0,0.0,4.0,0.084,8.0,0.0,0.175,0.409,0.58,0.448,45.62965,-0.33419719,0.15194163,,16.0,7.0,,1.0,,0.0,1.0,23929673.87,6.5,-0.86282,0.101319,-0.8854956,33.74208,0.103215687,40.25999832,0.093503281,0.599080684,0.230847651,0.061459747,0.317301005,0.202398451,0.0,0.0,636.9,9683.88,226.248,204.729,44.0,49.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
LA,18.0,Louisiana,22,45,4487830.0,21.9,0.375278741,0.63061577,1.0,20482301.0,23451376.0,41887.0,27669.0,6.0,16.7,0.0,4.0,0.083,8.0,1.0,0.164,0.382,0.615,0.497,71.96344,,,1.83,16.7,6.5,0.61,1.0,12.0,0.0,1.0,900720.11,7.699999809,-0.850896,0.101319,-0.99992323,41.19297,0.09061835,40.00600052,0.105235644,0.548832362,0.278766016,0.071413425,0.338613677,0.135709232,0.0,0.0,640.0,9713.77,,,44.0,49.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
LA,18.0,Louisiana,22,45,4495627.0,24.1,0.377448171,0.6622358,1.0,21411326.0,24851601.0,43080.0,29567.0,7.2,18.3,0.0,4.0,0.083,8.0,0.0,0.169,0.382,0.627,0.493,78.02979,-0.54934067,0.55332792,,17.4,6.6,,1.0,,0.0,1.0,,6.5,-0.867274,0.100119,-1.2141705,44.26287,0.156702548,35.4070015,0.096293464,0.445379996,0.352513476,0.064145513,0.37032076,0.156641413,0.0,0.0,597.0,9940.79,230.231,209.166,46.0,48.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
LA,18.0,Louisiana,22,45,4243634.0,24.1,0.364500701,0.67238194,1.0,24220667.0,27769117.0,44823.0,33287.0,4.5,17.0,0.0,4.0,0.081,8.0,0.0,0.164,0.382,0.633,0.493,78.02979,,,1.83,17.4,6.7,0.3,1.0,12.0,0.0,1.0,,6.400000095,-0.958131,0.100119,-1.3289975,32.82051,0.016109003,37.26599884,0.087351285,0.34192763,0.426260936,0.056877602,0.402027843,0.177573595,0.0,1.0,717.7,9832.41,,,47.0,49.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
LA,18.0,Louisiana,22,45,4373310.0,24.1,0.377220601,0.67552817,1.0,27838774.0,33348403.0,42364.0,35794.0,4.3,16.1,0.0,4.0,0.084,8.0,0.0,0.175,0.327,0.653,0.473,73.40047,-0.18351121,0.35865054,,17.4,6.8,,0.5,,0.0,1.0,41126079.82,5.599999905,-0.85556,0.112011,-1.1881876,45.13145,-0.050292511,38.20000076,0.104577616,0.292627344,0.395765879,0.060324696,0.416707931,0.149827938,0.0,1.0,737.3,10636.3,230.043,207.407,47.0,48.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
LA,18.0,Louisiana,22,45,4410796.0,24.1,0.380835801,0.65936303,1.0,33003289.0,30358133.0,41197.0,37944.0,4.9,18.2,1.0,4.0,0.085,8.0,1.0,0.435,0.327,0.73,0.622,43.85608,,,1.83,15.3,6.7,0.61,0.5,12.0,0.0,1.0,2545987.81,4.699999809,-0.825925,0.112011,-1.1625222,43.24025,0.018106984,36.94100189,0.121803939,0.243327057,0.365270823,0.06377179,0.431388019,0.12208228,0.0,1.0,664.4,11471.7,,,47.0,49.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
LA,18.0,Louisiana,22,45,4491648.0,24.1,0.385480791,0.64026463,1.0,32355021.0,23100188.0,42332.0,36157.0,6.8,14.3,1.0,4.0,0.082,8.0,0.0,0.431,0.359,0.73,0.61,38.84464,-0.25421941,0.44006228,,16.0,6.4,,0.5,,0.0,1.0,1109907.24,5.800000191,-0.788337,0.479532,-0.87883317,41.74784,0.141969815,37.21900177,0.118086398,0.425886894,0.32915143,0.065456138,0.398224716,0.148615691,0.0,1.0,620.0,12161.3,229.432,207.486,46.0,47.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
LA,18.0,Louisiana,22,45,4544532.0,24.1,0.387478769,0.62091881,1.0,33615486.0,32188166.0,42949.0,37021.0,8.0,21.6,1.0,4.0,0.078,8.0,0.0,0.438,0.379,0.776,0.571,39.42331,,,,16.0,6.5,0.39,0.5,12.0,0.0,1.0,1799309.42,4.300000191,-0.885895,0.479532,-0.88016266,36.81895,-0.019164342,37.07600021,0.114368856,0.608446731,0.293032037,0.067140486,0.365061412,0.175149103,0.0,1.0,555.3,,,,46.0,49.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
LA,18.0,Louisiana,22,45,4575625.0,24.1,0.393635452,0.5937947,1.0,33396449.0,33974652.0,,38701.0,7.8,21.1,1.0,4.0,,8.0,0.0,0.443,0.393,0.783,0.603,28.25478,-0.47705486,0.63407362,,16.0,6.7,,0.5,,0.0,1.0,36352471.19,4.400000095,-0.978853,,-0.66242516,35.37876,-0.068133108,,0.110016778,0.650900575,0.269508378,0.083795369,0.389234566,0.195730334,0.0,1.0,554.6,,230.779,210.411,40.0,50.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
LA,18.0,Louisiana,22,45,4601893.0,24.1,,0.63839346,1.0,31679177.0,26894374.0,,40545.0,7.1,21.1,1.0,4.0,,8.0,1.0,0.525,0.437,0.913,0.736,12.37309,,,,11.1,7.0,0.6,0.0,12.0,0.0,1.0,2952182.3,,-0.983012,,,38.57437,,,0.1056647,0.693354419,0.24598472,0.100450252,0.41340772,0.216311565,0.0,1.0,496.3,,,,36.0,49.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
LA,18.0,Louisiana,22,45,4625470.0,24.1,,0.61717069,1.0,32050417.0,32369498.0,,40898.0,6.7,19.2,1.0,4.0,,8.0,0.0,0.525,0.437,0.922,0.736,14.6926,,,,11.8,7.1,,0.0,,0.0,1.0,198020.93,,-1.07243,,,42.16489,,,,,,,,,0.0,1.0,521.2,,,,,,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,,1.0
LA,18.0,Louisiana,22,45,4649676.0,,,,1.0,32077869.0,33275548.0,,42668.0,6.4,23.1,1.0,4.0,,8.0,0.0,0.525,0.437,0.929,0.736,14.02937,,,,12.5,,0.44,0.0,,0.0,1.0,1784679.37,,-1.0405,,,,,,,,,,,,0.0,1.0,514.7,,,,,,1.0,1.0,1.0,,0.0,2.0,0.0,0.0,1.0,0.0,1.0,,1.0
LA,18.0,Louisiana,22,45,4670724.0,,,,1.0,31206858.0,28101183.0,,42878.0,6.3,18.6,,,,,0.0,0.526,0.444,0.913,0.59,,,,,12.5,,,0.0,,0.0,1.0,44501442.21,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,0.0,,,,,,
LA,18.0,Louisiana,22,45,4681666.0,,,,1.0,31444186.0,26842105.0,,42499.0,6.1,20.2,,,,,1.0,0.509,0.442,1.055,0.944,,,,,15.3,,0.6,0.0,,0.0,1.0,1169282.39,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,0.0,,,,,,
LA,18.0,Louisiana,22,45,4684333.0,,,,,33768004.0,36284434.0,,43903.0,5.1,21.4,,,,,,,,,,,,,,15.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
LA,18.0,Louisiana,22,45,4659690.0,,,,,35118217.0,36042163.0,,46159.0,,,,,,,,,,,,,,,,15.0,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,18.0,Louisiana,22,45,4648794.0,,,,,,,,47363.0,,,,4.45,,8.0,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,40.0,South Carolina,45,48,3486310.0,44.400002,0.314329892,0.5447914,1.0,7909943.0,8852303.0,21520.0,15844.0,4.7,16.2,0.0,5.0,0.093,5.0,0.0,,,,,48.75423,,,,8.8,6.9,0.3,0.5,,,,,4.599999905,-1.23856,0.016226,-1.6557975,39.15663,-0.033102524,45.29700089,0.053214986,0.733647238,0.398549334,0.047228904,0.431629548,0.191458641,0.0,,976.6,6645.58,,,,,0.0,0.0,1.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,1.0
